totalpop,agedep,drovealone,walked,fromhome,lfblack,geoid_tract
3752,80,68.3,1.5,9.6,0,42003473500
3711,95.7,72.7,3.5,9.4,77.8,42003473601
4110,94.3,77.1,0,5.1,0,42003473602
3932,78.1,63.2,0.7,22.5,100,42003474101
3761,95.6,73.1,3.3,11.2,83.6,42003474102
2417,72.5,75.8,0,11.3,53.8,42003474201
5060,79.4,66.8,1,18.9,0,42003474202
4798,77.8,78.4,1.2,10.5,45,42003474203
4754,75.7,58.1,1.5,11.1,81.4,42003475101
1644,70.9,71,0.5,8.6,100,42003475102
5146,66.3,78.6,0.4,6.6,93.7,42003475200
4642,61.1,70.6,2,12.1,81.4,42003475301
3971,90.7,70.1,0.9,18.3,0,42003475303
5249,63.8,79.5,0.9,10.1,79.3,42003475304
3894,85.4,70.2,0.9,15.9,98.9,42003475401
3010,61.6,82.6,0,11.1,100,42003475402
5127,57.1,66.8,5.4,5.1,99.1,42003476100
3122,49,78.7,0.4,6.8,7.7,42003476200
3342,81.1,81.8,0,7.7,100,42003477100
4078,87.4,74.8,0,9.5,0,42003477200
6847,60.6,87.2,1,6.5,27.7,42043024503
5059,88.3,84.5,0,8.3,0,42043024601
5487,69.9,88.4,0,6,50,42043024602
6452,78.1,89.8,0.4,6.1,100,42043024700
3351,57,82.2,0.3,7.3,100,42043024801
4623,78.5,80,2.3,7,52.4,42043024802
2226,68,74.3,2,3.4,25,42043024900
2832,74.5,66.8,4.2,6.4,100,42043025000
3943,82,61.3,4.8,11.3,75,42043025100
3780,64.9,76.8,2,5.1,36,42043025200
4274,76.6,71.4,2.7,9.4,87,42043025300
2514,72.7,78.4,4.1,0.6,NA,42043025400
4122,92.8,61.7,4.6,10,53.8,42043025500
6514,51.7,44.3,5.9,1.9,61.7,42045400301
3434,55.5,67.9,3.1,4.6,78.2,42045400302
5740,50.9,64.4,1,2.5,79.5,42045400401
4580,56.7,59.3,2.4,2.5,75.5,42045400402
4124,49.5,67.1,2.1,0.4,70.5,42045400500
5323,45.8,72.9,1.4,4.1,84.3,42045400600
6199,60.5,56.4,4.3,7.6,68.8,42045400700
2237,35.6,60.5,0.5,1,80.1,42045400801
3601,47.2,72.3,1.4,5.1,75.1,42045400802
1457,71,63.9,0.8,14.6,72.5,42045400900
1839,66.6,71,0,7.5,94.4,42045401000
2962,57.2,73.4,3.4,4.5,96.1,42045401101
3433,53.2,78.2,1.6,10.6,90.6,42045401103
4165,45.6,63.9,0.6,10.5,89.5,42045401104
3276,73.8,75.1,3.9,6.1,82.7,42045401200
2793,53.5,75.8,2.6,3.3,85,42045401302
2219,40.7,70.8,0,4.2,86,42045401303
1916,42.8,77.4,0,2.6,84.1,42045401401
3841,55.3,67.5,0,5,91.2,42045401402
3812,51.1,61.8,1.7,3.6,81,42045401502
3428,62.3,64.4,0.6,10.8,90.9,42045401503
1833,63.7,76.9,2.6,9.5,70.1,42045401600
2661,54.1,74.3,4.6,4.8,83.1,42045401700
3877,48.5,68.2,6.2,7,71.1,42045401800
5935,72.2,82,2.8,3.6,0,42043024502
4393,44.1,62.6,0.8,8.4,74.5,42045401900
